author,isbn,pages,title
William Shakespeare|Barbara A. Mowat|Paul Werstine|Catherine Belsey,9.78E+12,298 pages,A Midsummer Night's Dream
Kahlil Gibran,9.78E+12,127 pages,The Prophet
Marion Zimmer Bradley,9.78E+12,884 pages,The Mists of Avalon
Joseph Conrad,9.78E+12,188 pages,Heart of Darkness
Terry Pratchett|Neil Gaiman,9.78E+12,412 pages,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch"
Amy Tan,9.78E+12,288 pages,The Joy Luck Club
J.R.R. Tolkien,9.78E+12,366 pages,The Hobbit
Rick Riordan,9.78E+12,361 pages,The Battle of the Labyrinth
Richard Bach|Russell Munson,9.78E+12,112 pages,Jonathan Livingston Seagull
Jane Carruth|Rene Cloke|Lewis Carroll,9.78E+12,92 pages,Alice in Wonderland
Norton Juster|Jules Feiffer,9.78E+12,256 pages,The Phantom Tollbooth
Jack London,9.78E+12,172 pages,The Call of the Wild
Cassandra Clare,9.78E+12,567 pages,Clockwork Princess
Rick Riordan,9.78E+12,279 pages,The Sea of Monsters
Dr. Seuss,9.78E+12,44 pages,"Oh, The Places You'll Go!"
Gustave Flaubert|Malcolm Bowie|Margaret Mauldon|Mark Overstall,9.78E+12,329 pages,Madame Bovary
Stieg Larsson|Reg Keeland,9.78E+12,503 pages,The Girl Who Played with Fire
Katherine Paterson,9.78E+12,128 pages,Bridge to Terabithia
Rick Riordan,9.78E+12,320 pages,The Titan's Curse
Suzanne Collins,9.78E+12,1155 pages,The Hunger Games Trilogy Boxset
E.L. James,9.78E+12,356 pages,Fifty Shades of Grey
Charles Dickens|Philip Horne|George Cruikshank,9.78E+12,608 pages,Oliver Twist
Jean M. Auel,9.78E+12,512 pages,The Clan of the Cave Bear
Geoffrey Chaucer|Nevill Coghill,9.78E+12,504 pages,The Canterbury Tales
James Joyce|Morris L. Ernst|John M. Woolsey,9.78E+12,783 pages,Ulysses
James Dashner,9.78E+12,384 pages,The Maze Runner
Robert Louis Stevenson,9.78E+12,311 pages,Treasure Island
John Irving,9.78E+12,610 pages,The World According to Garp
Michael Ende|Ralph Manheim|Roswitha Quadflieg|Miguel Sáenz,9.78E+12,396 pages,The Neverending Story
Ernest Hemingway,9.78E+12,293 pages,A Farewell to Arms
Charles Dickens|Jeremy Tambling,9.78E+12,882 pages,David Copperfield
Gregory Maguire|Douglas Smith,9.78E+12,406 pages,Wicked: The Life and Times of the Wicked Witch of the West
Jay Asher,9.78E+12,288 pages,Thirteen Reasons Why
George R.R. Martin,9.78E+12,1177 pages,A Storm of Swords
James Clavell,9.78E+12,1152 pages,Shōgun
Philippa Gregory,9.78E+12,661 pages,The Other Boleyn Girl
Jonathan Safran Foer,9.78E+12,326 pages,Extremely Loud and Incredibly Close
Thomas Keneally,9.78E+12,429 pages,Schindler's List
Richelle Mead,9.78E+12,594 pages,Last Sacrifice
Lauren Kate,9.78E+12,452 pages,Fallen
Philip Pullman|Peter Bailey,9.78E+12,1088 pages,His Dark Materials
Frances Hodgson Burnett|Nancy Bond,9.78E+12,242 pages,A Little Princess
John Kennedy Toole|Walker Percy,9.78E+12,416 pages,A Confederacy of Dunces
Ki Longfellow,9.78E+12,448 pages,The Secret Magdalene
Richelle Mead,9.78E+12,489 pages,Spirit Bound
Michael Crichton,9.78E+12,399 pages,Jurassic Park
John Boyne,9.78E+12,224 pages,The Boy in the Striped Pajamas
Margery Williams Bianco|William   Nicholson,9.78E+12,40 pages,The Velveteen Rabbit
Toni Morrison,9.78E+12,324 pages,Beloved
J.R.R. Tolkien|Christopher Tolkien|Ted Nasmith,9.78E+12,386 pages,The Silmarillion
Agatha Christie,9.78E+12,322 pages,Murder on the Orient Express
Kurt Vonnegut,9.78E+12,306 pages,Cat's Cradle
Arthur Miller|Christopher Bigsby,9.78E+12,143 pages,The Crucible
Tracy Chevalier,9.78E+12,233 pages,Girl with a Pearl Earring
Maggie Stiefvater,9.78E+12,390 pages,Shiver
Shel Silverstein,9.78E+12,176 pages,A Light in the Attic
Corrie ten Boom|John Sherrill|Elizabeth Sherrill,9.78E+12,242 pages,The Hiding Place: The Triumphant True Story of Corrie Ten Boom
Wally Lamb,9.78E+12,465 pages,She's Come Undone
Homer|Robert Fagles|Bernard Knox,9.78E+12,1556 pages,The Iliad/The Odyssey
Franz Kafka|Willa Muir|Edwin Muir|Max Brod,9.78E+12,255 pages,The Trial
Rick Riordan,9.78E+12,557 pages,The Lost Hero
Kenneth Grahame|Gillian Avery,9.78E+12,256 pages,The Wind in the Willows
Erin Morgenstern,9.78E+12,387 pages,The Night Circus
